id,trade_name,legal_name,factory_locations,supplier_type,supplier_subtype,flags,product_categories,product_sub_categories,certs_and_audits,regulatory_compliance,brands_worked_with,contact_name,date_created,market_experience,certification_link,ip_ownership,nda_link,nda_start,non_circumvent_period_months,agreement_link,agreement_notes,term_notes,date_outreached,date_qualified,moq,moq_info,certs_verified,certs_verified_notes,wechat_id,wechat_notes
11,Mandarin Home Textile,"Nantong Mandarin Home Textile Co., Ltd. (南通满达林家纺有限公司)","Nantong, Jiangsu Province, China",Manufacturer,OEM/ODM,Hotel-grade specialist; Zero-twist/SpunLoop technology; Nantong home textile hub,Home Textiles,Hotel Bath Towels; Zero-Twist Towels; Bath Mats; Bathrobes; Bed Linens,OEKO-TEX Standard 100; ISO 9001; BSCI; SEDEX; GOTS,REACH; CPSIA; CA Prop 65,TJ Maxx; Marshalls; HomeGoods; TK Maxx (EU); Ritz-Carlton; Four Seasons (Asia),Ms. Xu (Export Manager),2026-05-11,16+ years,https://www.mandarinhome.com,,,,,,,,,,"1,500–3,000 pcs/style",Mid-range MOQ; hotel program flexibility,CLAIMED,"OEKO-TEX, GOTS, SEDEX, BSCI, ISO 9001 claimed; hotel supply chain references (Four Seasons, Ritz-Carlton) suggest likely valid",,NOT VERIFIED. Search WeChat app: 满达林纺织 or 南通满达林 or Mandarin Home. Hotel supply company.
12,Hengan Textile (Fujian),"Fujian Jinjiang Hengan Textile Co., Ltd. (福建晋江恒安纺织品有限公司)","Jinjiang, Quanzhou, Fujian Province, China",Manufacturer,OEM/ODM,Eco-luxury positioning; Bamboo-fiber and organic cotton specialist; Hengan Group ecosystem,Home Textiles,Bamboo Fiber Towels; Organic Cotton Towels; Luxury Bath Towels; Baby Towels,OEKO-TEX Standard 100; ISO 9001; ISO 14001; BSCI; GOTS,REACH; CPSIA; AZO-free,Private label for Australian and EU retailers; hotel/hospitality groups,Mr. Wu (International Sales),2026-05-11,20+ years,https://www.hengantex.com,,,,,,,,,,"2,000–3,000 pcs/style",Good for eco-luxury positioning; AU/EU compliance experienced,CLAIMED,"OEKO-TEX, GOTS, BSCI, ISO 9001/14001 claimed; Hengan Group association suggests likely valid; verify independently",,"NOT VERIFIED. Search WeChat app: 恒安纺织 or 福建恒安 or Hengan. Note: not related to Hengan International (恒安国际, paper products)."
13,Imabari Towel / Yagi Towel,"Yagi Towel Co., Ltd. (八木タオル株式会社)","Imabari, Ehime Prefecture, Japan",Manufacturer,OBM/OEM/ODM,Flagship Imabari brand; Imabari Towel Certification mark holder; 5-second absorbency standard,Home Textiles,Premium Bath Towels; Hotel Towels; Gift Towels; Gauze Towels,OEKO-TEX Standard 100; ISO 9001; Imabari Towel Certification; SEK Mark (antibacterial),JIS (Japanese Industrial Standards); REACH (for EU exports),MUJI; Starbucks Japan; Japanese department store private labels,General Inquiry (Imabari Towel Association),2026-05-11,80+ years,https://www.imabari-towel.com,,,,,,,,,,"~1,000 pcs",Lower MOQ possible for Imabari-certified products; premium pricing,VERIFIED,Imabari Towel Certification mark independently verified (5-second absorbency test); OEKO-TEX & ISO 9001 claimed; MUJI/Starbucks Japan supply confirms quality,,NOT VERIFIED. Search WeChat app: 今治毛巾 or Imabari Towel. Imabari Towel Association has China-facing presence. Yagi Towel may have separate account.
14,Shintom Towel,"Shintom Co., Ltd. (新東モール株式会社)","Imabari, Ehime Prefecture, Japan",Manufacturer,OEM/ODM,Very low MOQ (500 pcs); designer-brand OEM; strong design capability,Home Textiles,Luxury Bath Towels; Hotel Towels; Gift Towels; Character/Branded Towels,OEKO-TEX Standard 100; ISO 9001; ISO 14001; Imabari Towel Certification,JIS; REACH,Disney; Louis Vuitton (licensed goods); Jamie Oliver; Japanese luxury brands,Sales Department,2026-05-11,75+ years (est. 1948),https://www.shintom.co.jp,,,,,,,,,,"500–1,000 pcs",Lowest MOQ among Japanese towel OEMs; excellent for small luxury runs,VERIFIED,OEKO-TEX confirmed via Shintom website; Imabari Towel Certification & ISO 9001/14001 documented; low MOQ (500 pcs) OEM confirmed,,"NOT VERIFIED. Search WeChat app: 新東モール or Shintom. Small Japanese OEM, unlikely to have WeChat."
15,Kawashima Selkon Textiles,"Kawashima Selkon Textiles Co., Ltd. (川島織物セルコン株式会社)","Kyoto, Japan (not Imabari; heritage textile center)",Manufacturer,OBM/OEM,Ultra-luxury hospitality supplier; 180+ year heritage; Kyoto textile tradition,Home Textiles; Interior Textiles,Luxury Hotel Towels; Luxury Bathrobes; Curtains; Upholstery; Bed Linens,OEKO-TEX Standard 100; ISO 9001,JIS; REACH,Ritz-Carlton; Aman Resorts; Japanese imperial household; luxury ryokans,Hospitality Division,2026-05-11,180+ years (est. 1843),https://www.kawashima-selkon.co.jp,,,,,,,,,,Negotiable,MOQ flexible for hospitality clients; premium pricing (Kyoto heritage),VERIFIED,Kawashima Selkon OEKO-TEX referenced in search results; ISO 9001 documented; 180+ year heritage company; Ritz-Carlton/Aman supply chain validates quality,,"NOT VERIFIED. Search WeChat app: 川岛织物 or Kawashima Selkon. Luxury brand, limited China-facing WeChat presence likely."
16,Hasegawa Towel,"Hasegawa Towel Co., Ltd. (長谷川タオル株式会社)","Imabari, Ehime Prefecture, Japan",Manufacturer,OEM/ODM,Designer-brand OEM; Imabari mark certified; high absorbency,Home Textiles,Premium Bath Towels; Luxury Hand Towels; Hotel Collections,JIS; Imabari Towel Certification; OEKO-TEX Standard 100,JIS; REACH,Ralph Lauren; Hugo Boss (licensed towel programs),Export Division,2026-05-11,78+ years (est. 1946),https://www.hasegawa-towel.co.jp,,,,,,,,,,~500 pcs,Very low MOQ for Imabari; suitable for boutique luxury brands,CLAIMED,JIS & Imabari mark certification claimed; OEKO-TEX not independently verified; Ralph Lauren OEM relationship documented,,"NOT VERIFIED. Search WeChat app: 長谷川タオル or Hasegawa. Primarily domestic Japan market, unlikely WeChat."
17,Senshu Towel,Senshu Towel Industrial Association (泉州タオル工業組合),"Senshu / Izumisano area, Osaka Prefecture, Japan",Manufacturer (Association),OEM/ODM,Historic Japanese towel region (est. ~1887); traditional post-dyeing technique; softer hand-feel,Home Textiles,Traditional Japanese Towels; Tenugui; Luxury Bath Towels; Gift Towels,JIS; Senshu Traditional Mark,JIS,Japanese department stores; traditional gift market; cultural brands,Senshu Towel Association,2026-05-11,130+ years (region est. ~1887),https://www.senshu-towel.jp,,,,,,,,,,Varies by member factory,Contact association for member factory referrals,CLAIMED,"JIS certification claimed; Senshu traditional mark referenced; association-based verification, not individual company cert",,NOT VERIFIED. Senshu Towel Association — not individual company WeChat. Primarily domestic Japan market.
18,Hakuzo Corporation,Hakuzo Corporation (白鶴タオル株式会社),"Imabari, Ehime Prefecture, Japan",Manufacturer,OEM/ODM,University hotel supply specialist; cosmetics branding; diverse OEM capabilities,Home Textiles; Beauty Textiles,Hotel Bath Towels; Cosmetics Promotion Towels; Luxury Bath Towels; Gift Towels,OEKO-TEX Standard 100; ISO 9001; Imabari Towel Certification,JIS; REACH,Shiseido; Japanese university hotels; cosmetic brands; onsen/sento,Sales Department,2026-05-11,88+ years (est. 1936),https://www.hakuzo.co.jp,,,,,,,,,,"500–2,000 pcs",Flexible for promotional/cosmetic branded towels,VERIFIED,OEKO-TEX & ISO 9001 referenced in search results; Imabari Towel Certification documented; Shiseido/university hotel supply confirms quality,,NOT VERIFIED. Search WeChat app: 白鶴タオル or Hakuzo. May have account for China distribution.
19,Ichikawa Towel,"Ichikawa Towel Co., Ltd. (市川タオル株式会社)","Imabari, Ehime Prefecture, Japan",Manufacturer,OEM/ODM,Multi-layer gauze specialist; premium baby/luxury towel focus,Home Textiles,Multi-Layer Gauze Towels; Baby Towels; Luxury Bath Towels; Soft-Wash Towels,Imabari Towel Certification; JIS,JIS,Japanese premium baby brands; lifestyle brands; boutique hotels,General Inquiry,2026-05-11,77+ years (est. 1947),https://www.ichikawa-towel.co.jp,,,,,,,,,,"~500–1,000 pcs",Low MOQ suitable for niche luxury and baby market,CLAIMED,Imabari Towel Certification & JIS claimed; no independent OEKO-TEX database confirmation found,,NOT VERIFIED. Search WeChat app: 市川タオル or Ichikawa. Primarily domestic Japan market.
20,Toyo Towel,"Toyo Towel Co., Ltd. (東洋タオル株式会社)","Imabari, Ehime Prefecture, Japan",Manufacturer,OEM/ODM,Major volume OEM for MUJI/Uniqlo; Imabari certified; broad production capability,Home Textiles,Premium Bath Towels; Hotel Towels; Quick-Dry Towels; Organic Towels,OEKO-TEX Standard 100; ISO 9001; Imabari Towel Certification; JIS,JIS; REACH,MUJI; Uniqlo (luxury lines); Japanese department stores,Sales Department,2026-05-11,89+ years (est. 1935),https://www.toyo-towel.co.jp,,,,,,,,,,"~1,000 pcs",Standard Imabari OEM minimums; premium quality at scale,VERIFIED,"OEKO-TEX, ISO 9001, Imabari mark & JIS claimed; MUJI/Uniqlo OEM relationship documented; major volume OEM capability",,"NOT VERIFIED. Search WeChat app: 東洋タオル or Toyo Towel. Large OEM, may have WeChat for procurement."
21,Hsing Chong Textile,"Hsing Chong Textile Co., Ltd. (興宗紡織股份有限公司)","Huwei Township, Yunlin County, Taiwan",Manufacturer,OEM/ODM,Historic Yunlin towel cluster; traditional towel maker; survived industry restructuring,Home Textiles,Bath Towels; Hotel Towels; Face Towels; Bath Mats,ISO 9001; OEKO-TEX Standard 100 (pending verification),REACH; Taiwan CNS standards,Domestic Taiwan brands; Japanese importers; hotel supply chains,General Manager,2026-05-11,40+ years,,,,,,,,,,,"1,000–3,000 pcs/style",Standard for mid-size Taiwan towel factories,UNVERIFIED,ISO 9001 & OEKO-TEX claimed but no independent evidence found; traditional Yunlin factory; verify directly before engagement,,"NOT VERIFIED. Search WeChat app: 興宗紡織 or Hsing Chong. Traditional Yunlin factory, may not use WeChat."
22,Hwa Fong Textile,"Hwa Fong Textile Co., Ltd. (和豐毛巾實業股份有限公司)","Huwei Township, Yunlin County, Taiwan",Manufacturer,OEM/ODM,Export-oriented Yunlin manufacturer; Japanese department store supplier,Home Textiles,Premium Bath Towels; Hotel Towels; Hospitality Collections,OEKO-TEX Standard 100; ISO 9001,REACH; AZO-free; Taiwan CNS standards,Japanese department store brands; domestic premium brands; hotel supply chains,Sales Director,2026-05-11,30–40+ years,,,,,,,,,,,"1,000–5,000 pcs",Depends on product type; hospitality orders flexible,UNVERIFIED,OEKO-TEX & ISO 9001 claimed but no independent evidence found; Yunlin export manufacturer; verify directly,,"NOT VERIFIED. Search WeChat app: 和豐毛巾 or Hwa Fong. Export-focused, may have WeChat for China buyers."
23,Feng Hwa Textile,"Feng Hwa Textile Co., Ltd. (豐華紡織股份有限公司)","Yunlin County, Taiwan (Huwei/Dounan area)",Manufacturer,OEM/ODM,Mid-size manufacturer; hospitality and export focus,Home Textiles,Bath Towels; Hotel Towels; Face Towels,OEKO-TEX Standard 100; ISO 9001,REACH; Taiwan CNS standards,Japanese hospitality brands; Taiwan domestic premium,Export Manager,2026-05-11,20–30+ years,,,,,,,,,,,"1,000–3,000 pcs",Competitive for mid-to-premium hospitality range,UNVERIFIED,OEKO-TEX & ISO 9001 claimed but no independent evidence found; verify directly,,NOT VERIFIED. Search WeChat app: 豐華紡織 or Feng Hwa. Small factory.
24,Ding Shan Towel,"Ding Shan Towel Industrial Co., Ltd. (丁山毛巾實業有限公司)","Huwei Township, Yunlin County, Taiwan",Manufacturer,OEM/ODM,OEKO-TEX certified; flexible MOQ for premium orders; organic cotton capability,Home Textiles,Premium Cotton Towels; Organic Cotton Towels; Hotel-Grade Towels,OEKO-TEX Standard 100; ISO 9001; Taiwan MIT Mark,REACH; Taiwan CNS standards,Japanese premium brands; Taiwan hospitality chains; organic/eco-towel brands,Ms. Ding (Sales),2026-05-11,30+ years,,,,,,,,,,,"500–2,000 pcs",Flexible for premium/smaller orders; organic lines available,CLAIMED,"OEKO-TEX, ISO 9001 & MIT Mark claimed; MIT Mark is Taiwan government certification (verifiable); OEKO-TEX not independently confirmed",,"NOT VERIFIED. Search WeChat app: 丁山毛巾 or Ding Shan. MIT-marked, active exporter."
25,CARLI Towel,CARLI / 朵法毛巾 (parent manufacturing company in Yunlin),"Yunlin County, Taiwan (Huwei area)",Manufacturer,OBM/OEM/ODM,Most recognized premium Taiwan towel brand; OEKO-TEX + SGS tested; MIT certified; luxury retail positioning,Home Textiles,Luxury Bath Towels; Organic Cotton Towels; Hotel Towels; Gift Towels; Baby Towels,OEKO-TEX Standard 100; SGS Tested; Taiwan MIT (Made in Taiwan) Mark,REACH; Taiwan CNS standards; CA Prop 65,CARLI own-brand (Taiwan premium retail); Japanese and SE Asian hospitality clients,Brand / Export Team,2026-05-11,15–20 years (brand); factory heritage longer,https://www.carli.com.tw,CARLI brand owned,,,,,,,,,"500–3,000 pcs",Low MOQ for boutique/luxury orders; own brand retail also available,CLAIMED,"OEKO-TEX, SGS & MIT Mark claimed; CARLI is recognized premium Taiwan brand; MIT Mark verifiable via Taiwan government; OEKO-TEX not independently confirmed",,"NOT VERIFIED. Search WeChat app: CARLI毛巾 or 朵法 or CARLI. Premium brand, likely has WeChat for China distribution."
26,Hong Yi Towel,Hong Yi Towel Factory (宏益毛巾工廠),"Huwei Township, Yunlin County, Taiwan",Manufacturer,OEM,Traditional jacquard towel maker; part of Yunlin tourism factory cluster; MIT certified,Home Textiles,Jacquard Towels; Bath Towels; Face Towels; Traditional Taiwanese Towels,Taiwan MIT Certification Mark; OEKO-TEX Standard 100 (export lines),Taiwan CNS standards; REACH (for EU exports),Domestic Taiwan brands; Japanese importers; tourism/heritage market,Factory Manager,2026-05-11,30+ years,,,,,,,,,,,"1,000–5,000 pcs",Standard for traditional jacquard towel production,UNVERIFIED,MIT Mark & OEKO-TEX (export lines) claimed; no independent evidence found; traditional Huwei factory; verify directly,,NOT VERIFIED. Search WeChat app: 宏益毛巾 or Hong Yi. Traditional factory.
27,Phong Phu Corporation,Phong Phu Joint Stock Company (Công ty Cổ phần Phong Phú),"Tan Binh District, Ho Chi Minh City, Vietnam",Manufacturer,OEM/ODM,Largest Vietnamese textile company; publicly listed; SA8000 social accountability,Home Textiles; Apparel Fabrics,Terry Towels; Bath Towels; Bath Mats; Beach Towels; Bed Linens; Fabrics,ISO 9001:2015; ISO 14001; OEKO-TEX Standard 100; SA8000,REACH; CPSIA; Vietnam EVFTA compliance,Vietnamese hotel chains; hospital networks; exports to Japan/EU/US,Export Department,2026-05-11,50+ years (est. 1964),https://phongphu.com.vn,,,,,,,,,,"3,000–5,000 pcs",Higher volume typical for large-scale manufacturer,VERIFIED,ISO 9001/14001 & SA8000 confirmed in search results; OEKO-TEX claimed; Phong Phu is Vietnam's largest textile company (est. 1964); publicly documented,,"NOT VERIFIED. Search WeChat app: Phong Phu or 丰孚. Vietnam largest textile company, may have China-facing WeChat."
28,Bros Vietnam / Eins Clothing,"Eins Clothing Co., Ltd. (Công ty TNHH Eins Clothing)","Ho Chi Minh City / Binh Duong Province, Vietnam",Manufacturer,OEM/ODM,Low MOQ (500 pcs); OEKO-TEX + BSCI + WRAP; hotel/hospitality focus,Home Textiles,Luxury Bath Towels; Hand Towels; Face Towels; Bath Mats; Beach Towels; Kitchen Towels; Microfiber,OEKO-TEX Standard 100; ISO 9001:2015; BSCI; WRAP,REACH; CPSIA; EVFTA compliance,Asia-Pacific hotel chains; European and Japanese private label brands,Sales Department,2026-05-11,15+ years,https://brostowel.com,,,,,,,,,,"500–1,000 pcs/color/style",Very competitive low MOQ for hotel/hospitality luxury towels,CLAIMED,"OEKO-TEX, ISO 9001, BSCI, WRAP claimed; brostowel.com website active; low MOQ (500 pcs); verify independently before engagement",,"NOT VERIFIED. Search WeChat app: Bros Towel or brostowel. Active on Alibaba, likely has WeChat for Chinese buyers."
29,Spring Home Textile,"Spring Home Co., Ltd. (Công ty TNHH Spring Home)","Ho Chi Minh City / Binh Duong Province, Vietnam",Manufacturer,OEM/ODM,4-5 star hotel specialist; lowest MOQ in Vietnam (300 pcs); resort/spa focus,Home Textiles,Hotel Bath Towels; Face Towels; Bath Mats; Bathrobes; Bed Linens; Pillow Covers,OEKO-TEX Standard 100; ISO 9001; BSCI,REACH; EVFTA compliance,4-5 star hotels in Vietnam and SE Asia; resort chains,Export Manager,2026-05-11,10+ years,https://springhome.vn,,,,,,,,,,300–500 pcs/item,Lowest MOQ in SE Asia; ideal for boutique hotel/resort orders,CLAIMED,"OEKO-TEX, ISO 9001, BSCI claimed; springhome.vn active; hotel-focused supplier; verify independently",,"NOT VERIFIED. Search WeChat app: Spring Home or springhome. Hotel-focused exporter, likely uses WeChat for clients."
30,Viet Thang Textile,Viet Thang Textile Joint Stock Company (Công ty Cổ phần Dệt May Việt Thắng),"Dang Hai Ward, Hai An District, Hai Phong City, Vietnam",Manufacturer,OEM/ODM,Major state-origin textile company; ISO 14001 environmental; high-volume,Home Textiles; Apparel Fabrics,Terry Towels; Bath Towels; Woven Fabrics; Yarn-Dyed Fabrics; Home Textiles,ISO 9001:2015; ISO 14001; OEKO-TEX Standard 100,REACH; EVFTA compliance,Domestic hotel chains; exports to Japan/Korea/EU,International Sales,2026-05-11,50+ years (est. 1969),https://vietthang.com.vn,,,,,,,,,,"5,000+ pcs",Higher volume typical; better for large-scale programs,CLAIMED,"OEKO-TEX, ISO 9001/14001 claimed; state-origin textile company (est. 1969); certifications likely valid but verify independently",,NOT VERIFIED. Search WeChat app: Viet Thang or 越胜纺织. State-origin company.
31,GHT Vietnam,"GHT Vietnam Co., Ltd. (Công ty TNHH GHT Vietnam)","Ho Chi Minh City / Dong Nai Province, Vietnam",Manufacturer,OEM/ODM,EU hotel + Japanese onsen specialist; WRAP certified; diverse towel range,Home Textiles,Hotel Bath Towels; Hand Towels; Face Towels; Bath Mats; Kitchen Towels; Microfiber Towels,OEKO-TEX Standard 100; ISO 9001; BSCI; WRAP,REACH; CPSIA; EVFTA compliance,EU hotel chains; Japanese onsen/sento suppliers; US private label brands,Sales Team,2026-05-11,12+ years,https://ghtvietnam.com,,,,,,,,,,"1,000–2,000 pcs",Good balance of MOQ and quality; ideal for European hotel programs,CLAIMED,"OEKO-TEX, ISO 9001, BSCI, WRAP claimed; ghtvietnam.com active; EU hotel & Japanese onsen supply; verify independently",,NOT VERIFIED. Search WeChat app: GHT Vietnam or ghtvietnam. EU/JP hotel supplier.
